country,is lockdown,num_days_5_death_to_lockdown,Literacy(%),population,population_density,median_age,aged_65_older,gdp_per_capita,hospital_beds_per_thousand,latitude,longitude,death_by_lack_of_hygiene,stringency_index,cvd_death_rate,diabetes_prevalence,life_expectancy,democracy_score,Electoral process and pluralism,functioning of government,Political participation,Political culture,Civil liberties,Obesity rate,Total Tourists,Total passengers,Passengers per Capita,Tourists per Capita
Kenya,0,100,85.1,52574000,87.324,20,2.686,2993.028,1.4,-0.023559,37.906193,253.049,92.2072093,218.637,2.92,66.7,5.18,3.5,5.71,6.67,5.63,4.41,7.1,1364000,4874590,0.11,0.025366692
Niger,0,100,17.6,23311000,16.955,15.1,2.553,926,0.3,17.607789,8.081666,151.206,61.11,238.339,2.42,62.42,3.29,2.92,1.14,3.33,4.38,4.71,5.5,164000,15242,0.001,0.006775002
Mali,0,100,46.4,19658000,15.196,16.4,2.519,2014.306,0.1,17.570692,-3.996166,150.661,61.26282353,268.024,2.42,59.31,4.92,6.42,3.07,3.89,5.63,5.59,8.6,193300,173200,0.008552734,0.009545286
Somalia,0,100,37.8,15443000,23.5,16.8,2.731,4721,0.9,5.152149,46.199616,150.633,54.89540541,365.769,6.05,57.4,2.84,0,3.57,3.33,4.38,2.94,8.3,51000,251652,0.02,0.003208916
Burkina Faso,0,100,26.6,20321000,70.151,17.6,2.409,1703.102,0.4,12.238333,-1.561593,127.837,84.26,269.048,2.42,61.58,4.04,3.92,2.71,4.44,5,4.12,5.6,143000,122589,0.007,0.006841032
Tanzania,0,100,78.2,58005000,64.699,17.7,3.108,2683.304,0.7,-6.369028,34.888822,114.518,40.97041096,217.288,5.75,65.46,5.16,5.75,5,5,5.63,4.41,8.4,1275000,1239707,0.025,0.021344552
Democratic Republic of Congo,0,100,65.5,86791000,35.879,17,3.02,808.133,0.8,-4.038333,21.758664,112.543,80.56,318.949,6.1,60.68,1.13,0,0,1.67,3.13,0.88,6.7,351000,476352,0.006,0.003919099
India,1,2,59.5,1366418000,450.419,28.2,5.989,6426.674,0.53,20.593684,78.96288,104.202,96.3,282.28,10.39,69.66,6.9,8.67,6.79,6.67,5.63,6.76,3.9,15543000,98927860,0.079,0.011263008
Nigeria,1,-7,68,200964000,209.588,18.1,2.751,5338.454,0.5,9.081999,8.675277,101.907,80.83693182,181.013,2.42,54.69,4.12,5.17,3.93,3.33,3.75,4.41,8.9,1889000,3223459,0.018,0.009163694
Guinea,0,100,35.9,12771000,51.755,19,3.135,1998.926,0.3,9.945587,-9.696645,97.505,73.09465753,336.717,2.42,61.6,3.14,3.5,0.43,4.44,4.38,2.94,7.7,60000,400759,0.328,0.004568716
Togo,0,100,60.9,8082000,143.366,19.4,2.839,1429.813,0.7,8.619543,0.824782,96.364,63.78853333,280.033,6.15,61.04,3.3,3.17,1.79,3.33,5,3.24,8.4,496000,769904,0.11,0.05991252
Cameroon,0,100,79,25876000,50.885,18.8,3.165,3364.926,1.3,7.369722,12.354722,88.079,63.89,244.661,7.2,59.29,2.85,1.67,2.5,3.33,4.38,2.35,11.4,994000,267208,0.012,0.037444628
Senegal,0,100,40.2,16296000,82.328,18.7,3.008,2470.58,0.3,14.497401,-14.452362,82.432,70.65045455,241.219,2.42,67.94,5.81,6.08,6.07,4.44,6.25,6.18,8.8,1365000,115355,0.008,0.08152208
Ghana,1,1,74.8,30418000,126.719,21.1,3.385,4227.63,0.9,7.946527,-1.023194,45.45,62.04,298.245,4.97,64.07,6.63,8.33,5.71,6.67,6.25,6.18,10.9,897000,390457,0.014,0.028867557
Pakistan,1,1,45.7,216565000,255.573,23.5,4.495,5034.708,0.6,30.375321,69.345116,43.146,92.59,423.031,8.35,67.27,4.25,6.08,5.71,2.22,2.5,4.71,8.6,966000,8467827,0.043,0.004373171
Republic of the Congo,1,-5,83.8,5381000,15.405,19,3.402,4881.406,1.6,-0.228021,15.827659,38.7,97.22,344.094,7.2,64.57,3.11,2.17,2.5,3.89,3.75,3.24,9.6,206000,657926,0.138,0.037331744
Bangladesh,1,0,43.1,163046000,1265.036,27.5,5.098,3523.984,0.8,23.684994,90.356331,35.956,89.81,298.003,8.38,72.59,5.88,7.83,6.07,6.11,4.38,5,3.6,125000,2906799,0.018,0.000759005
South Africa,1,-6,86.4,58558000,46.754,27.3,5.344,12294.876,2.32,-30.559482,22.937506,34.855,87.96,200.38,5.52,64.13,7.24,7.42,7.5,8.33,5,7.94,28.3,10285000,17188887,0.313,0.173414722
Indonesia,0,100,87.9,270626000,145.725,29.3,5.319,11188.744,1.04,-0.789275,113.921327,30.168,68.06,342.864,6.32,71.72,6.48,7.92,7.14,6.11,5.63,5.59,6.9,14040000,88685767,0.348,0.051330119
Sudan,0,100,61.1,42813000,23.258,19.7,3.548,4466.507,0.8,12.862807,30.217636,26.713,86.84012658,431.388,15.67,65.31,2.7,0,1.79,5.56,5,1.18,6.6,813000,496178,0.013,0.018540788
Myanmar,0,100,75.55,54045000,81.721,29.1,5.732,5591.597,0.9,21.913965,95.956223,24.065,82.19092105,202.104,4.61,67.13,3.55,3.08,3.93,2.78,5.63,2.35,5.8,3443000,2029139,0.039,0.063279049
Guatemala,0,100,70.6,17581000,157.834,22.9,4.694,7423.808,0.6,15.783471,-90.230759,21.556,96.1304878,155.898,10.18,74.3,5.26,6.92,4.64,3.89,4.38,6.47,21.2,2113000,93129,0.006,0.117942123
Afghanistan,0,100,36,38042000,54.422,18.6,2.581,1803.987,0.5,33.93911,67.709953,20.892,78.7,597.029,9.59,64.83,2.85,3.42,0.64,3.89,2.5,3.82,5.5,90000,1929907,0.067,0.00231194
Honduras,1,-11,76.2,9746000,82.805,24.9,4.652,4541.795,0.7,15.199999,-86.241905,15.123,100,240.208,7.21,75.27,5.42,7.83,4.29,4.44,4.38,6.18,21.4,851000,251149,0.029,0.085919604
Philippines,1,5,92.6,108117000,351.873,25.2,4.803,7599.188,1,12.879721,121.774017,13.809,97.22,370.437,7.07,71.23,6.64,9.17,5.36,7.22,4.38,7.06,6.4,6621000,32230986,0.319,0.060421012
Guyana,0,100,98.8,783000,3.952,26.3,5.305,7435.047,1.6,4.860416,-58.93018,13.779,85.59365854,373.159,11.62,69.91,6.15,6.92,5.36,6.11,5,7.35,20.2,247000,43835,0.058,0.31402603
Egypt,0,100,57.7,100388000,97.999,25.3,5.159,10550.206,1.6,26.820553,30.802498,8.64,84.26,525.432,17.31,71.99,3.06,2.67,3.21,3.33,3.75,2.35,32,8157000,10159464,0.114,0.079709265
Bolivia,1,-9,87.2,11513000,10.202,25.4,6.704,6885.829,1.1,-16.290154,-63.588653,8.547,96.3,204.299,6.89,71.51,4.84,4.75,3.93,5,3.75,6.76,20.2,1134000,2578959,0.238,0.097147022
Dominican Republic,0,100,84.7,10739000,222.873,27.6,6.981,14600.861,1.6,18.735693,-70.162651,7.135,91.665,266.653,8.2,74.08,6.54,9.17,5.36,6.11,5,7.06,27.8,6188000,14463,0.001,0.570432777
Thailand,1,-2,92.6,69626000,135.132,40.1,11.373,16277.671,2.1,15.870032,100.992541,6.967,80.56,109.861,7.04,77.15,6.32,7.42,5.36,6.11,6.25,6.47,10,35592000,54259629,0.807,0.509914201
Iraq,1,13,40.4,39310000,88.125,20,3.186,15663.986,1.4,33.223191,43.679291,6.671,85.19,218.612,8.83,70.6,3.74,5.25,0,6.67,5,1.76,30.4,892000,484803,0.013,0.022176641
El Salvador,1,-28,80.2,6454000,307.811,27.6,8.273,7292.458,1.3,13.794185,-88.89653,6.298,95.07658537,167.295,8.87,73.32,6.15,9.17,4.64,6.11,3.75,7.06,24.6,1556000,2597649,0.402,0.239893892
Morocco,1,-6,51.7,36472000,80.08,29.6,6.769,7485.013,1.1,31.791702,-7.09262,5.829,93.52,419.146,7.14,76.68,5.1,5.25,4.64,5.56,5.63,4.41,26.1,11349000,6786850,0.201,0.307473
Peru,1,-6,90.9,32510000,25.129,29.1,7.151,12236.706,1.6,-9.189967,-75.015152,5.806,94.44,85.755,5.95,76.74,6.6,9.17,5,5.56,5.63,7.65,19.7,4032000,13907948,0.446,0.122286147
Brazil,1,4,86.4,211050000,25.04,33.5,8.552,14103.452,2.2,-14.235004,-51.92528,4.504,74.54,177.961,8.11,75.88,6.86,9.58,5.36,6.11,5,8.24,22.1,6589000,102039359,0.499,0.030998393
Paraguay,1,-17,94,7045000,17.144,26.5,6.378,8827.01,1.3,-23.442503,-58.443832,4.246,89.3375,199.128,8.27,74.25,6.24,8.75,5.71,5,4.38,7.35,20.3,1584000,452004,0.067,0.222081085
Panama,1,1,92.6,4246000,55.133,29.7,7.918,22267.037,2.3,8.537981,-80.782127,4.173,79.63,128.346,8.33,78.51,7.05,9.58,6.07,6.67,5,7.94,22.7,1843000,12018103,3.023,0.427137682
Jamaica,1,0,87.9,2948000,266.879,31.4,9.684,8193.571,1.7,18.109581,-77.297508,3.884,80.90915493,206.537,11.28,74.47,6.96,8.75,7.14,4.44,6.25,8.24,24.7,2353000,92836,0.034,0.794620759
Venezuela,1,-19,93.4,28516000,36.253,29,6.614,16745.022,0.8,6.42375,-66.58973,3.448,82.41,204.85,6.47,72.06,2.88,0,1.79,5,4.38,3.24,25.6,427000,6456853,0.211,0.015016207
Saudi Arabia,0,100,78.8,34269000,15.322,31.9,3.295,49045.411,2.7,23.885942,45.079162,3.427,91.67,259.538,17.72,75.13,1.93,0,2.86,2.22,3.13,1.47,35.4,16109000,32778827,1.04,0.462717916
Ecuador,1,-5,92.5,17374000,66.939,28.1,7.104,10581.936,1.5,-1.831239,-78.183406,3.187,93.52,140.448,5.55,77.01,6.33,8.75,5.36,6.11,4.38,7.06,19.9,1608000,5762485,0.354,0.091140652
Sri Lanka,0,100,92.3,21324000,341.955,34.1,10.069,11669.077,3.6,7.873054,80.771797,3.187,80.555,197.093,10.68,76.98,6.27,7,6.07,5.56,6.25,6.47,5.2,2116400,4911730,0.234,0.098836001
Mexico,0,100,92.2,127576000,66.444,29.3,6.857,17336.469,1.38,23.634501,-102.552784,2.981,82.41,152.783,13.06,75.05,6.09,7.83,6.07,7.22,3.13,6.18,28.9,39291000,45560063,0.381,0.304740255
Trinidad and Tobago,1,-16,98.6,1395000,266.886,36.2,10.014,28763.071,3,10.691803,-61.222503,2.75,79.63,228.467,10.97,73.51,7.16,9.58,7.14,6.11,5.63,7.35,18.6,395000,2617842,1.94,0.282245474
Kyrgyzstan,0,100,97,6416000,32.333,26.3,4.489,3393.474,4.5,41.20438,74.766098,2.723,83.70932432,436.362,7.11,71.45,4.89,6.08,2.93,6.67,3.75,5,16.6,2930000,625294,0.105,0.449097827
Malaysia,1,-5,88.7,31950000,96.254,29.9,6.293,26808.164,1.9,4.210484,101.975766,2.526,73.15,260.942,16.74,76.16,7.16,9.17,7.86,6.67,6.25,5.88,15.6,25948000,50347149,1.614,0.801705543
Cuba,0,100,97,11333000,110.408,43.1,14.738,8821.82,5.2,21.521757,-77.781167,2.521,83.33,190.968,8.27,78.8,2.84,0,3.57,3.33,4.38,2.94,24.6,4594000,1294458,0.115,0.405593339
Tunisia,1,-4,74.2,11695000,74.228,32.7,8.001,10849.297,2.3,33.886917,9.537499,2.457,87.96,318.991,8.52,76.7,6.72,9.17,5.71,7.22,5.63,5.88,26.9,7052000,3496190,0.313,0.59668567
United Arab Emirates,1,5,77.9,9771000,112.442,34,1.144,67293.483,1.2,23.424076,53.847818,2.369,84.26,317.84,17.26,77.97,2.76,0,3.93,2.22,5,2.65,31.7,7126000,84738479,9.629,0.720496643
Algeria,1,5,70,43053000,17.348,29.1,6.211,13913.839,1.9,28.033886,1.659626,2.206,83.8,278.364,6.73,76.88,4.01,3.08,2.86,5,5,4.12,27.4,2451000,5910835,0.15,0.055893767
Azerbaijan,1,6,97,10048000,119.309,32.4,6.018,15847.419,4.7,40.143105,47.576927,2.192,87.96,559.812,7.11,73,2.75,0.5,3.21,2.78,3.75,3.53,19.9,2454000,1803112,0.187,0.242031526
Bahrain,0,100,89.1,1641000,1935.907,32.4,2.372,43290.705,2,25.930414,50.637772,1.997,75.04805195,151.689,16.52,77.29,2.55,0.83,2.71,2.78,4.38,2.06,29.8,11370000,5313756,3.887,6.682013161
Colombia,1,-2,92.5,50339000,44.223,32.2,7.646,13254.949,1.71,4.570868,-74.297333,1.882,87.04,124.24,7.44,77.29,7.13,9.17,6.79,5.56,5.63,8.53,22.3,4113000,30742928,0.638,0.080832682
Oman,1,-8,75.8,4975000,14.98,30.7,2.355,37960.709,1.6,21.512583,55.923255,1.867,86.72102941,266.342,12.61,77.86,3.06,0.08,3.93,2.78,4.38,4.12,27,2372000,6365784,1.531,0.464494924
Iran,1,20,79.4,82914000,49.831,32.4,5.44,19082.62,1.5,32.427908,53.688046,1.827,56.48,270.308,9.59,76.68,2.38,0,2.86,4.44,3.13,1.47,25.8,4867000,15003958,0.19,0.057945337
Mauritius,0,100,85.6,1270000,622.962,37.4,10.945,20292.745,3.4,-20.348404,57.552152,1.756,82.41,224.644,22.02,74.99,8.22,9.17,8.21,5.56,8.75,9.41,10.8,1342000,1466527,1.161,1.055224738
Argentina,1,-6,97.1,44781000,16.177,31.9,11.198,18933.907,5,-38.416097,-63.616672,1.492,100,191.032,5.5,76.67,7.02,9.17,5.36,6.11,6.25,8.24,28.3,6720000,14245183,0.33,0.148686458
Costa Rica,1,-29,96,5048000,96.079,33.6,9.468,15524.995,1.13,9.748917,-83.753428,1.491,73.17746667,137.973,8.78,80.28,8.13,9.58,7.5,6.67,7.5,9.41,25.7,2960000,1617075,0.335,0.581062772
Lebanon,1,-12,87.4,6856000,594.561,31.1,8.514,13367.565,2.9,33.854721,35.862285,1.414,85.19,266.591,12.71,78.93,4.36,3.92,1.5,6.67,5,4.71,32,1857000,2583274,0.418,0.272070292
Uzbekistan,0,100,99.3,32982000,76.134,28.2,4.469,6253.104,4,41.377491,64.585262,1.362,81.8024,724.417,7.57,71.72,2.01,0.08,1.86,2.22,5,0.88,16.6,2690000,2486673,0.079,0.080372404
Uruguay,0,100,98,3462000,19.751,35.6,14.655,20551.409,2.8,-32.522779,-55.765835,1.251,66.67,160.708,6.93,77.91,8.38,10,8.57,6.11,7.5,9.71,27.9,3674000,563630,0.162255123,1.057653638
Jordan,1,-13,91.3,10102000,109.285,23.2,3.81,8337.49,1.4,30.585164,36.238414,1.224,100,208.257,11.75,74.53,3.93,3.58,4.29,3.89,4.38,3.53,35.5,3843500,3065145,0.322,0.376697762
Kuwait,1,-4,83.5,4207000,232.128,33.7,2.345,65530.537,2,-0.023559,37.906193,1.163,90.42592105,132.235,15.84,75.49,3.93,3.58,4.29,3.89,4.38,3.53,37.9,307000,3655366,0.874,0.071887477
Turkey,1,33,86.5,83430000,104.914,31.6,8.153,25129.341,2.81,38.963745,35.243322,1.106,78.7,171.285,12.13,77.69,4.09,3.08,5,5,5,2.35,32.1,37601000,96604665,1.235,0.445831349
Chile,0,100,96.2,18952000,24.282,35.4,11.087,22767.037,2.11,-35.675147,-71.542969,0.926,73.15,127.993,8.46,80.18,8.08,9.58,8.57,5,8.13,9.12,28,6450000,15006762,0.833,0.337409996
Moldova,0,100,99.1,4043000,123.655,37.6,10.864,5189.972,5.8,47.411631,28.369885,0.83,80.56,408.502,5.72,71.9,5.75,6.58,4.64,6.11,4.38,7.06,18.9,145000,1005942,0.294,0.035944802
China,0,100,90.9,1433784000,147.674,38.7,10.641,15308.712,4.34,35.86166,104.195397,0.772,56.94,261.899,9.74,76.91,2.26,0,4.29,3.33,2.5,1.18,6.2,60740000,436183969,0.318,0.042200373
Kazakhstan,0,100,98.4,18551000,6.681,30.6,6.991,24055.588,6.7,48.019573,66.923684,0.746,84.98140845,466.792,7.11,73.6,2.94,0.5,2.14,4.44,4.38,3.24,21,7701000,5081631,0.29,0.410135813
Taiwan,0,100,96.1,23774000,673,42.2,14.36,55078,6.983,23.69781,120.960515,0.655,27.78,103.957,6.6,80.46,7.73,9.58,8.21,6.11,5.63,9.12,6.4,10740000,65972466.75,2.77,0.450942665
Hungary,1,5,99.4,9685000,108.043,43.4,18.577,26777.561,7.02,47.162494,19.503304,0.636,74.07,278.296,7.55,76.88,6.63,8.75,6.07,5,6.25,7.06,26.4,5650000,20042185,2.036,0.584864938
Czech Republic,1,-10,99.9,10689000,137.176,43.3,19.027,32605.906,6.63,49.817492,15.472962,0.605,68.52,227.485,6.82,79.38,7.69,9.58,6.79,6.67,6.88,8.53,26,10160000,4971616,0.471,0.948736304
South Korea,0,100,97.9,51225000,527.967,43.4,13.914,35938.374,12.27,35.907757,127.766922,0.597,43.52,85.998,6.8,83.03,8,9.17,7.86,7.22,7.5,8.24,4.7,13336000,65482307,1.246,0.260117272
Israel,1,7,95.4,8519000,402.606,30.6,11.733,33132.32,2.99,31.046051,34.851612,0.56,84.26,93.32,6.74,82.97,7.86,9.17,7.86,8.89,7.5,5.88,26.1,3613000,6064478,0.724,0.417420471
Romania,1,1,98.4,19365000,85.129,43,17.85,23313.199,6.892,45.943161,24.96676,0.532,87.04,370.946,9.74,76.05,6.49,9.17,5.71,5.56,4.38,7.65,22.5,10926000,3636642,0.184,0.567947843
Russia,1,-1,99.6,145872000,8.823,39.6,14.178,24765.954,8.05,61.52401,105.318756,0.502,85.19,431.297,6.18,72.58,3.11,2.17,1.79,5,2.5,4.12,23.1,24390000,76846126,0.533,0.16712982
Armenia,1,14,98.6,2958000,102.931,35.7,11.232,8787.58,4.2,40.069099,45.038189,0.659,0,341.01,7.11,75.09,5.54,7.5,5.36,6.11,3.13,5.59,20.2,1260000,45000,0.015186111,0.425211104
Chad,0,100,47.5,15947000,11.833,16.7,2.486,1768.153,0.4,15.454166,18.732207,160.827,73.28176471,280.995,6.1,54.24,1.61,0,0,1.67,3.75,2.65,6.1,119800,28332,0.002,0.007293378
Georgia,1,-23,99,3997000,65.032,38.7,14.864,9745.079,2.6,42.315407,43.356892,0.572,71.28918182,496.218,7.11,73.77,5.42,7.83,3.21,6.11,4.38,5.59,21.7,6360000,232263,0.058,1.594314614
Montenegro,1,-26,98.85,628000,46.28,39.1,14.762,16409.288,3.861,42.708678,19.37439,0.131,0,387.305,10.08,76.88,5.65,5.67,5.36,6.11,4.38,6.76,23.3,1660000,526980,0.847,2.643051164
Nicaragua,0,100,67.5,6546000,51.667,27.3,5.445,5321.444,0.9,12.865416,-85.207229,4.851,12.8510101,137.016,11.47,74.48,3.55,1.25,2.86,3.89,5.63,4.12,23.7,1500000,61031,0.01,0.226430338
Japan,0,100,99,126860000,347.778,48.2,27.049,39002.223,13.05,36.204824,138.252924,0.477,45.37,79.37,5.72,84.63,7.99,8.75,8.21,6.67,7.5,8.82,4.3,28691000,113762000,0.895,0.226848541
Canada,0,100,97,37411000,4.037,41.4,16.984,44017.591,2.5,56.130366,-106.346771,0.47,72.69,105.599,7.37,82.43,9.22,9.58,9.64,7.78,9.38,9.71,29.4,20798000,80228301,2.238,0.551054885
Belgium,1,5,98,11539000,375.564,41.8,18.571,42658.576,5.64,50.503887,4.469936,0.462,81.48,114.898,4.29,81.63,7.64,9.58,8.21,5,6.88,8.53,22.1,8385000,11193023,0.996,0.723492478
Qatar,1,-28,82.5,2832000,227.322,31.9,1.307,116935.6,1.2,25.354826,51.183884,0.456,83.51168831,176.69,16.52,80.23,3.19,0,4.29,2.22,5.63,3.82,35.1,2256500,25263224,10.775,0.783218676
Norway,1,-8,100,5379000,14.462,39.7,16.821,64800.057,3.6,60.472024,8.468946,0.451,65.74,114.316,5.31,82.4,9.87,10,9.64,10,10,9.71,23.1,6252000,12277220,2.366,1.153241268
Denmark,1,-7,100,5772000,136.52,42.3,19.677,46682.515,2.5,56.26392,9.501785,0.449,74.07,114.767,6.41,80.9,9.22,10,9.29,8.33,9.38,9.12,19.7,11743000,582011,0.102,2.027380601
United States,1,21,97,329065000,35.608,38.3,15.413,54225.446,2.77,37.09024,-95.712891,0.43,72.69,151.089,10.79,78.86,7.96,9.17,7.14,7.78,7.5,8.24,36.2,76941000,798230000,2.483,0.232448292
Sweden,0,100,99,10036000,24.718,41,19.985,46949.283,2.22,60.128161,18.643501,0.409,37.96,133.982,4.79,82.8,9.39,9.58,9.64,8.33,10,9.41,20.6,7054000,11623930,1.186,0.698466325
Albania,1,-12,86.5,2881000,104.871,38,13.188,11803.431,2.89,41.153332,20.168331,0.369,87.035,304.195,10.08,78.57,5.89,7,5.36,4.44,5,7.65,21.7,4643000,151632,0.052,1.613385225
Portugal,1,-2,93.3,10226000,112.371,46.2,21.502,27936.896,3.39,39.399872,-8.224454,0.368,82.41,127.842,9.85,82.05,8.03,9.58,7.86,6.11,7.5,9.12,20.8,15432000,12635233,1.22,1.513429777
United Kingdom,1,12,99,67530000,272.898,40.8,18.517,39753.244,2.54,55.378051,-3.435973,0.367,75.93,122.137,4.28,81.32,8.52,9.58,7.5,8.89,7.5,9.12,27.8,37651000,131449680,2.019,0.55462095
New Zealand,1,-18,99,4783000,18.206,37.9,15.322,36085.843,2.61,-40.900557,174.885971,0.366,53.78853333,128.797,8.08,82.29,9.26,10,9.29,8.89,8.13,10,30.8,3555000,15304409,3.329,0.737210334
Cyprus,1,2,97.6,1199000,127.657,37.3,13.416,32415.132,3.4,35.126413,33.429859,0.353,93.515,141.171,9.24,80.98,7.59,9.17,6.43,6.67,6.88,8.82,21.8,3652000,23404,0.02,4.169430494
Netherlands,0,100,99,17097000,508.544,43.2,18.779,48472.545,3.32,52.132633,5.291266,0.345,79.63,109.361,5.29,82.28,9.01,9.58,9.29,8.33,8.75,9.12,20.4,17924000,34870204,2.058,1.046053858
Germany,1,10,99,83517000,237.016,46.6,21.453,45229.245,8,51.165691,10.451526,0.344,73.15,156.139,8.31,81.33,8.68,9.58,8.57,8.33,7.5,9.41,22.3,37452000,115540886,1.414,0.447006882
France,1,11,99,65130000,122.578,42,19.718,38605.671,5.98,46.227638,2.213749,0.343,90.74,86.06,4.77,82.66,8.12,9.58,7.86,7.78,6.88,8.53,21.6,86861000,65039503,1.009,1.330723556
Slovakia,0,100,99.7,5457000,113.128,41.2,15.07,30155.152,5.82,48.669026,19.699024,0.33,66.22266667,287.959,7.29,77.54,7.17,9.58,7.14,5.56,5.63,7.94,17,2162000,11100,0.002,0.395996588
Ukraine,1,-10,99.7,43994000,77.39,41.4,16.462,7894.393,8.8,48.379433,31.16558,0.321,88.89,539.849,7.11,72.06,5.9,7.42,2.71,6.67,6.25,6.47,24.1,14230000,4613224,0.102,0.325377931
Bulgaria,0,100,98.6,7000000,65.18,44.7,20.801,18563.307,7.454,42.733883,25.48583,0.298,72.225,424.688,5.81,75.05,7.03,9.17,6.43,7.22,4.38,7.94,25,8883000,1118689,0.156,1.27841553
Lithuania,1,-12,99.6,2760000,45.135,43.5,19.002,29524.265,6.56,55.169438,23.881275,0.296,77.78,342.989,3.67,75.93,7.5,9.58,6.43,6.11,6.25,9.12,26.3,2523000,1363950,0.47,0.926792911
Luxembourg,0,100,100,616000,231.447,39.7,14.312,94277.965,4.51,49.815273,6.129583,0.294,70.37,128.275,4.42,82.25,8.81,10,8.93,6.67,8.75,9.71,22.6,1046000,1830972,3.214,1.670990581
Poland,1,-5,99.8,37888000,124.027,41.8,16.763,27216.445,6.62,51.919438,19.145136,0.283,83.33,227.331,5.91,78.73,6.62,9.17,6.07,6.11,4.38,7.35,23.1,18258000,4841128,0.126,0.482421078
Australia,1,7,100,25203000,3.202,37.9,15.504,44648.71,3.84,-25.274398,133.775136,0.281,69.44,107.791,5.07,83.44,9.09,10,8.93,7.78,8.75,10,29,8815000,69294187,2.914,0.345687888
Serbia,1,-13,93,8772000,80.291,41.2,17.366,14048.881,5.609,44.016521,21.005859,0.242,100,439.415,10.08,76,6.41,8.25,5.36,6.11,5,7.35,21.5,1497000,2424886,0.342,0.219998366
Latvia,0,100,99.8,1907000,31.212,43.9,19.754,25063.846,5.57,56.879635,24.603189,0.237,59.22469136,350.06,4.91,75.29,7.49,9.58,6.07,6.11,6.88,8.82,23.6,1949000,2527368,1.278,1.033293359
Croatia,1,-11,98.5,4130000,73.726,44,19.724,22669.797,5.54,45.1,15.2,0.228,89.81,253.782,5.59,78.49,6.57,9.17,6.07,5.56,5,7.06,24.4,15593000,1782666,0.424,3.798290392
Iceland,0,100,99.9,339000,3.404,37.3,14.431,46482.958,2.91,64.963051,-19.020835,0.221,45.43206897,117.992,5.31,82.99,9.58,10,9.29,8.89,10,9.71,21.9,2225000,3413950,10.32,6.52014652
Ireland,1,-12,98,4882000,69.874,38.7,13.928,67335.293,2.96,53.41291,-8.24389,0.205,85.19,126.459,3.28,82.3,9.24,10,7.86,8.33,10,10,25.3,10338000,113144501,24.409,2.093646639
Bosnia and Herzegovina,0,100,96.99,3301000,68.496,42.5,16.569,11713.895,3.5,43.915886,17.679076,0.185,90.74,329.635,10.08,77.4,4.86,6.17,2.93,5.56,3.75,5.88,17.9,923000,7070,0.002,0.281332535
Switzerland,0,100,99,8591000,214.243,43.1,18.436,57410.166,4.53,46.818188,8.227512,0.18,76.85,99.739,5.59,83.78,9.03,9.58,9.29,7.78,9.38,9.12,19.5,9889000,26843991,3.241,1.142626977
Slovenia,0,100,99.7,2079000,102.619,44.5,19.062,31400.84,4.5,46.151241,14.995463,0.173,86.11,153.493,7.25,81.32,7.5,9.58,6.79,6.67,6.25,8.24,20.2,3586000,1130637,0.548,1.724924144
Belarus,0,100,99.6,9452000,46.858,40.3,14.799,17167.967,11,53.709807,27.953389,0.171,13.89,443.129,5.18,74.79,2.48,0.92,2,2.78,4.38,2.35,24.5,11060200,1489035,0.157,1.170475635
Spain,1,7,97.9,46737000,93.105,45.5,19.436,34272.36,2.97,40.463667,-3.74922,0.166,85.19,99.403,7.17,83.56,8.29,9.58,7.14,7.78,8.13,8.82,23.8,81786000,60809228,1.305,1.749254189
Estonia,0,100,99.8,1326000,31.033,42.7,19.452,29481.252,4.69,58.595272,25.013607,0.163,71.065,255.569,4.02,78.74,7.9,9.58,7.86,6.67,6.88,8.53,21.2,3245000,512388,0.39,2.446215302
Italy,1,14,98.6,60550000,205.859,47.9,23.021,35220.084,3.18,41.87194,12.56738,0.114,91.67,113.151,4.78,83.51,7.52,9.58,6.07,7.78,6.25,7.94,19.9,58253000,26036010,0.429,0.963467396
Finland,1,-1,100,5532000,18.136,42.8,21.228,40585.721,3.28,61.92411,25.748151,0.102,65.74,153.507,5.76,81.91,9.25,10,8.93,8.89,8.75,9.71,22.2,3180000,9972333,1.82,0.573932837
Austria,1,-4,98,8955000,106.749,44.4,19.202,45436.686,7.37,47.516231,14.550072,0.095,66.67,145.183,6.35,81.54,8.29,9.58,7.86,8.33,6.88,8.82,20.1,29460000,14718641,1.703,3.271007284
Greece,1,5,97.5,10473000,83.479,45.3,20.396,24574.382,4.21,39.074208,21.824312,0.086,84.26,175.695,4.55,82.24,7.43,9.58,4.86,6.67,7.5,8.53,24.9,27194000,12583541,1.163,2.609023687
